2023-05-07 21:31:33,510 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:31:40,639 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:01,685 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:08,734 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:08,815 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:15,965 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:16,086 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:23,237 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:23,353 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:30,510 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:30,519 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:37,675 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:37,793 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:44,941 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:44,960 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:52,112 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:32:52,130 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
